case_id,trade_nm,cty_nm,st_cd,h2a_violtn_cnt,h2b_violtn_cnt,findings_start_date,year filed
1435620,Kram Farms dba Kram Harvesting,Duke,OK,2,0,3/15/2005,2005
1451736,Stoutridge Vineyard,Marlboro,NY,2,0,5/11/2006,2006
1451734,Walnut Grove Farm LLC,Staatsburg,NY,2,0,4/1/2006,2006
1448217,King Farm,Townsend,MA,2,0,2/27/2006,2006
1447753,Cecil Beach,Newland,NC,2,0,7/2/2004,2004
1446447,Holly Brothers Farm,Chatham,VA,2,0,7/14/2004,2004
1376811,John Mahan,Huntley,MT,2,0,7/10/2004,2004
1446468,Terry A. Moore,Chatham,VA,2,0,7/14/2004,2004
1592344,Tim Priest Farms,Carthage,NC,2,0,4/1/2009,2009
1670766,"Heberle, Joseph Farms",Hamlin,NY,2,0,11/1/2010,2010
1580930,H&D Farms Inc.,Autryville,NC,2,0,6/28/2008,2008
1448948,R. Hart Hudson Farm,South Hill,VA,2,0,8/10/2004,2004
1707759,Meadowbrook Orchards,Sterling,MA,2,0,10/28/2011,2011
1707620,Holmquest Farm,Hudson,NY,2,0,10/22/2011,2011
1706303,Quarry Hill Farm,Jeffersonville,VT,2,0,9/6/2011,2011
1697837,"Gold Orchards, Incorporated",Stonewall,TX,2,0,3/26/2012,2012
1694168,Shaine McGee,Eunice,LA,2,0,5/22/2011,2011
1699138,Kammans Farms,Vallonia,IN,2,0,7/18/2011,2011
1697242,Mitchell K. Tackett,South Hill,VA,2,0,6/17/2011,2011
1697231,Douglas Edward Harrison,Dolphin,VA,2,0,6/22/2011,2011
1686148,Big Horn Rice Farm Partnership,Marksville,LA,2,0,5/18/2011,2011
1669059,"Timber Ridge Fruit Farm, LLC",Gore,VA,2,0,8/1/2012,2012
1646976,Jacobs Silver K Farms,Hamer,ID,2,0,5/1/2010,2010
1624495,Louis Scatena Ranch,Yerington,NV,2,0,1/1/2011,2011
1596770,Eaton Farms,Leesport,PA,2,0,10/27/2008,2008
1624808,Kile Farms,Sabina,OH,2,0,8/27/2009,2009
1408462,Chappell Farms,Barnwell,SC,2,0,6/22/2004,2004
1448227,Idylwilde Farm,Acton,MA,2,0,8/27/2004,2004
1446429,Roger Edwards,Chatham,VA,2,0,6/30/2004,2004
1670419,Jerome Langdon Farms,Angier,NC,2,0,10/24/2010,2010
1629830,Rolling Meadows Farm,Lawtons,NY,2,0,12/5/2009,2009
1433495,Bill Robinson,Vernal,UT,2,0,3/9/2004,2004
1387575,LG Herndon Farms,Lyons,GA,2,0,9/15/2003,2003
1385651,Winston Preston,Salvisa,KY,2,0,9/10/2004,2004
1406836,Aubrey Wray,Jarratt,VA,3,0,4/25/2004,2004
1671829,Saratoga Apple Inc.,Schuylerville,NY,3,0,10/19/2010,2010
1596958,"Nichols Farm, LLC",Middletown,VA,3,0,10/7/2008,2008
1437584,Duelke Sheep Co.,Buhl,ID,3,0,3/21/2004,2004
1631310,Wyatt Farms Greenhouse Nursery,Benton,KY,3,0,4/6/2010,2010
1627661,"First Fruits Organic Farm, Inc.",Paonia,CO,3,0,8/18/2009,2009
1621640,Three Forks Ranch,Savery,WY,3,0,6/10/2009,2009
1622227,"Wiggins Farms, LLP",Caldwell,TX,3,0,7/2/2009,2009
1629391,Winding Brook Turf Farm,Wethersfield,CT,3,0,1/2/2010,2010
1621000,"Mackey Enterprises, Inc.",Elizabethtown,KY,3,0,7/31/2009,2009
1598259,"Kludt Brothers, Inc.",Kendall,NY,3,0,11/22/2008,2008
1593786,North Star Orchards,Yuba City,CA,3,0,10/25/2008,2008
1621600,Wolf Creek Tree Farm & Nursery (Renee Campbel,Tuckasegee,NC,3,0,3/4/2010,2010
1585910,"Titan Peach Farms, Inc",Ridge Spring,SC,3,0,2/20/2009,2009
1584872,Larry McArthur Farms,Burlington,CO,3,0,10/1/2008,2008
1582490,Abate Landscape,Chesterland,OH,3,0,5/25/2008,2008
1580145,"Badger Evergreen Farms I, LLC",Merrill,WI,3,0,1/1/2009,2009
1533304,Heartland Hydroponics,Benton,KY,3,0,1/15/2007,2007
357971,"Botticello, Henry d/b/a",Manchester,CT,3,0,4/1/1998,1998
1590821,Lavy Enterprises Turf Grass,New Carlisle,OH,3,0,8/19/2008,2008
1581569,Stanczyk Farms,Grantsville,MD,3,0,7/6/2008,2008
1578790,Susan S. Eubank,Dinwiddie,VA,3,0,6/27/2009,2009
1575772,"Plummer, Courtney",Waterport,NY,3,0,6/10/2008,2008
1571572,Little Creek Nursery,Mc Minnville,TN,3,0,3/6/2008,2008
1563599,Thomas Academy Farms,Elizabethtown,KY,3,0,12/18/2007,2007
1563015,"Twin Star Farms, Inc.",New Paltz,NY,3,0,1/1/2008,2008
1560349,"Cloverdale Farms, Inc.",Weatherly,PA,3,0,10/23/2007,2007
1555866,Kile Farms,Sabina,OH,3,0,9/6/2007,2007
1549155,Jimmy Durbin Farms,Clanton,AL,3,0,2/10/2008,2008
1548422,Landscape Workshop,Halls,TN,3,0,5/12/2009,2009
1546375,"Gonzalez, Jose C. Jr.",Mission,TX,3,0,3/1/2009,2009
1555221,Northern Dutchess Landscaping,Red Hook,NY,3,0,3/18/2009,2009
1549111,Zehr Farms Inc.,Lockport,NY,3,0,1/1/2009,2009
1548483,Green Thumb Farm,Water Mill,NY,3,0,7/24/2007,2007
1670241,RTC Inc.,Adairville,KY,3,0,10/11/2010,2010
1439581,Folz Farms,Hopkinsville,KY,3,0,4/7/2004,2004
1651891,Larson Livestock Inc.,Lyman,WY,3,0,1/1/2010,2010
1578799,Big Fork Farms,Bracey,VA,3,0,7/16/2008,2008
1665352,Lawrence Farms,Newburgh,NY,3,0,11/15/2010,2010
1659140,Denais Farms,Kaplan,LA,3,0,7/27/2010,2010
1655957,Boyd Farms,Rock Hill,SC,3,0,5/10/2011,2011
1652420,Berry Plantation,North Augusta,SC,3,0,2/2/2011,2011
1651421,McLeod Farms,McBee,SC,3,0,4/2/2011,2011
1642004,"Merrimack Valley Apiaries, Inc.",Bunkie,LA,3,0,3/1/2010,2010
1623161,A-1 Sealing Inc.,Richton,MS,3,0,6/20/2010,2010
1617981,Larry Eason,Wade,NC,3,0,6/27/2009,2009
1617786,"Great Southern Farms, LLC",Richton,MS,3,0,6/20/2009,2009
1572968,"Hudson Orchard, Inc.",Manchester,GA,3,0,1/5/2009,2009
1545060,Wellington Bacon,Kenbridge,VA,3,0,6/7/2007,2007
1541124,Peninsula Farm,Georgetown,KY,3,0,4/24/2007,2007
1521480,Pope's Plant Farm,Greenback,TN,3,0,11/30/2007,2007
1385778,"Anchustegui, John",Boise,ID,3,0,11/15/2002,2002
1519848,Tim Reeves Farm,Phoenix,NY,3,0,5/4/2008,2008
1510031,"Lowfields Farm, LLC",Palmyra,VA,3,0,5/6/2006,2006
1486104,Evolutionary Organics,New Paltz,NY,3,0,1/6/2006,2006
1483973,Starbrite Farm,Newton,NJ,3,0,4/7/2007,2007
1458379,Allenholm Farm,South Hero,VT,3,0,10/20/2004,2004
1660019,Carraway Family Farms,Murray,KY,3,0,4/20/2010,2010
1657766,Zimmerman Farms,Charlestown,IN,3,0,2/20/2012,2012
1657231,Millers & Sons Tobacco,Mayfield,KY,3,0,5/15/2011,2011
1621421,Golden Leaf Farms,Keysville,VA,3,0,7/28/2009,2009
1495507,Wertman Farm,Melrose,NY,3,0,3/26/2007,2007
1451735,Thanksgiving Farm at the Center for Discovery,Monticello,NY,3,0,4/1/2006,2006
1659657,Bob Brandi Honey,Hebron,ND,3,0,7/6/2010,2010
1661308,Arthur T. Lee,Dunn,NC,3,0,4/1/2011,2011
1406834,George Dianis,Emporia,VA,3,0,4/5/2004,2004
1555187,Big Sioux River Honey Company,Hawarden,IA,3,0,7/15/2009,2009
1452753,Swan Creek,Bridgehampton,NY,3,0,8/9/2004,2004
1448222,Meadow View Farm,Southwick,MA,3,0,8/14/2004,2004
1657239,Mark Luttrull,Trenton,KY,3,0,3/1/2010,2010
1449079,James H. Edwards,Chatham,VA,3,0,7/13/2004,2004
1653584,Bernhardt Farms,Taylor,ND,3,0,4/23/2010,2010
1707986,The Farm at Kristy's Barn,Castleton on Hudson,NY,3,0,3/1/2012,2012
1691338,Stephensen Sheep Co.,Fountain Green,UT,3,0,3/1/2011,2011
1697241,Buffalo Farms,Buffalo Junction,VA,3,0,6/25/2011,2011
1697239,Eddie Callahan,South Hill,VA,3,0,6/21/2011,2011
1697227,William E. Wright,White Plains,VA,3,0,6/19/2011,2011
1697056,"Gro-Moore Farms, Inc.",Rush,NY,3,0,6/19/2011,2011
1694172,CBM Farms,Simmesport,LA,3,0,5/23/2011,2011
1689127,Geary  Jolley Farms,Chesnee,SC,3,0,3/28/2012,2012
1686147,"S & W Zaunbrecher Farms, LLP",Elton,LA,3,0,3/22/2011,2011
1624505,"Lee Ivey Ranch, Inc.",Yerington,NV,3,0,2/1/2011,2011
1364135,"Double H. Farms, Inc.",Dunn,NC,3,0,7/1/2003,2003
1590557,Lake County Nursery,Perry,OH,3,0,8/3/2008,2008
1423269,Johnny Dawson/Clayton Ag. Service,Olmstead,KY,3,0,11/8/2003,2003
1422661,"Anthony DeMarco & Sons, Inc.",Elbridge,NY,3,0,5/11/2005,2005
1410884,B I Farms/ Michael Ingram,Charlotte,TN,3,0,5/14/2005,2005
1652061,Double Lee Farms,Dunn,NC,3,0,4/1/2011,2011
1580939,Jack Aman,Maysville,NC,3,0,5/24/2009,2009
1410852,Farmer Farms,Cedar Hill,TN,3,0,5/13/2005,2005
1397246,S & W Greenhouse,Carrollton,KY,3,0,4/14/2003,2003
1386083,CSF Farms,Seibert,CO,3,0,10/11/2004,2004
1306246,Jorgensen Farms,Bancroft,ID,4,0,3/1/2003,2003
1600329,Dolan Orchards,Wallkill,NY,4,0,10/22/2008,2008
1501504,Michael Mitchell,Midway,KY,4,0,1/25/2006,2006
1627506,"Wayside Nursery, Inc.",Niagara Falls,NY,4,0,9/10/2009,2009
1545059,John R. Bacon,Kenbridge,VA,4,0,6/10/2007,2007
1631886,Page Barker Farms,Adairville,KY,4,0,10/19/2009,2009
1629916,Hortons Greenhouse,Blackwater,VA,4,0,5/15/2011,2011
1590834,Roland Dreyer,Minden,NV,4,0,4/15/2009,2009
1550632,"3 Bar E, L.L.C.",Ethel,LA,4,0,4/3/2009,2009
1620375,Bale Farms,Horse Cave,KY,4,0,7/29/2009,2009
1606365,Mundt Farm,Agar,SD,4,0,5/16/2009,2009
1555664,DeLea Sod Farm,East Northport,NY,4,0,9/11/2007,2007
1458372,Stonewood Farm,Orwell,VT,4,0,12/7/2004,2004
1602610,Murphy Farm,Springfield,TN,4,0,12/8/2008,2008
1590058,Markowski Farms,West Suffield,CT,4,0,5/26/2010,2010
1600039,McLusky Orchards,La Fayette,NY,4,0,10/26/2008,2008
1599318,Moriello Brothers,New Paltz,NY,4,0,1/1/2009,2009
1587838,Trust Nursery,Pulaski,NY,4,0,9/3/2008,2008
1583368,Pennhill Farms,Edinburg,PA,4,0,7/6/2008,2008
1580941,Pate's Tree Farm,Fayetteville,NC,4,0,6/28/2008,2008
1545057,"Teeuwen Greenhouses, LTD",Chesapeake,VA,4,0,7/26/2007,2007
1545055,North Star Dairy,Lancaster,MN,4,0,7/4/2009,2009
1537421,Silver Bait,Coalmont,TN,4,0,4/5/2008,2008
1582520,Tepe Environmental,Cincinnati,OH,4,0,6/8/2008,2008
1561024,ERW Farms,Bailey,NC,4,0,1/1/2009,2009
1555195,Honeyland Apiaries,Kennard,NE,4,0,1/1/2009,2009
1555134,Hauke Farms,Sardinia,OH,4,0,8/19/2007,2007
1554069,"Anyela's Vineyards, LLC",Skaneateles,NY,4,0,3/27/2009,2009
